,test,test
434,murshidabad 1546240,UP_Muzaffarnagar
435,muzaffarnagar 2365710,BR_Muzaffarpur
436,muzaffarpur 77731,KA_Mysuru
437,mysuru  591781,OR_Nabarangapur
438,nabarangapur 2396798,WB_Nadia
439,nadia 1143880,AS_Nagaon
440,nagaon 42686,TN_Nagapattinam
441,nagapattinam  15185,TG_Nagarkurnool
442,nagarkurnool 28169773,RJ_Nagaur
443,nagaur 1507174,MH_Nagpur
444,nagpur 1797367,UT_Nainital
445,nainital 1797306,BR_Nalanda
446,nalanda 77633,AS_Nalbari
447,nalbari 42779,TG_Nalgonda
448,nalgonda 15384,TN_Namakkal
449,namakkal  15187,AR_Namsai
450,namsai 21559824,MH_Nanded
451,nanded 692389,MH_Nandurbar
452,nandubar 1623525,TG_Narayanpet
453,narayanpet 61746013,CT_Narayanpur
454,narayanpur 2322000,GJ_Narmada
455,narmada  1797230,MP_Narsinghpur
456,narsimhapur 2341616,MH_Nashik
457,nashik 1797269,GJ_Navsari
458,nav sari  1797349,BR_Nawada
459,nawada 100067,OR_Nayagarh
460,nayagarh 2367388,MP_Neemuch
461,neemuch 2341713,DL_New Delhi
462,new delhi 987,AN_Nicobars
463,nirmal 28169750,TN_Nilgiris
464,niwari 63563797,TG_Nirmal
465,nizamabad 15391,TG_Nizamabad
466,noklak 48731903,MN_Noney
467,noney 28419389,WB_North 24 Parganas
468,north 24 parganas 338425,AN_North and Middle Andaman
469,north delhi 693367,DL_North Delhi
470,north east delhi 429329,DL_North East Delhi
471,north garo hills 7055466,ML_North Garo Hills
472,north goa 108234,GA_North Goa
473,north sikkim  1784149,SK_North Sikkim
474,north tripura 1920978,TR_North Tripura
475,north west delhi 766125,DL_North West Delhi
476,nuapada 1810550,OR_Nuapada
477,nuh 2216696,HR_Nuh
478,osmanabad 1647186,MH_Osmanabad
479,pakaur 2295930,AR_Pakke Kessang
480,pakke kessang None,JH_Pakur
481,palamu 1797254,KL_Palakkad
482,palghar 18003119,JH_Palamu
483,palghat 1535742,MH_Palghar
484,pali 46925,RJ_Pali
485,palwal 2724926,HR_Palwal
486,panch mahal  1781463,HR_Panchkula
487,panchkula 1898143,GJ_Panchmahal
488,panipat 2086163,HR_Panipat
489,panna 2341630,MP_Panna
490,papum pare 15432,AR_Papum Pare
491,parbhani 1797389,MH_Parbhani
492,paschim bardhaman 29215602,WB_Paschim Bardhaman
493,paschim medinipur 1855537,WB_Paschim Medinipur
494,pashchim champaran 100124,GJ_Patan
495,pashchimi singhbhum 1950527,KL_Pathanamthitta
496,patan 1815269,PB_Pathankot
497,pathankot 172269,PB_Patiala
498,patiala 172391,BR_Patna
499,patna 100077,UT_Pauri Garhwal
500,pattanamtitta 634935,TG_Peddapalli
501,pauri garhwal 2085474,TN_Perambalur
502,peddapalli 27614797,NL_Peren
503,perambalur  15186,NL_Phek
504,peren 516294,MN_Pherzawl
505,phek 590882,UP_Pilibhit
506,pherzawl 28173809,UT_Pithoragarh
507,pilibhit 2980705,GJ_Porbandar
508,pithoragarh 1945425,AP_Prakasam
509,porbandar  1772815,UP_Pratapgarh
510,prakasam 15390,UP_Prayagraj
511,pratapgarh 1473962,PY_Puducherry
512,pratapgarh 1585433,TN_Pudukkottai
513,prayagraj 1773426,JK_Pulwama
514,puducherry  984035,JK_Punch
