0,1
jk_pulwama,viluppuram  
jk_pulwama,cuddalore  
as_kamrup,tiruvanamalai  
as_kamrup,vellore  
as_kamrup,viluppuram  
as_kamrup,thiruvallur  
as_kamrup,chennai  
mn_thoubal,sri potti sriramulu nellore 
mn_thoubal,kanchipuram  
mn_thoubal,vellore  
mn_thoubal,chittoor 
mn_thoubal,chennai  
tg_vikarabad,krishnagiri 
tg_vikarabad,kanchipuram  
tg_vikarabad,tiruvanamalai  
tg_vikarabad,chittoor 
tg_vikarabad,thiruvallur  
tn_chennai,kanchipuram  
tn_chennai,thiruvallur  
tn_kanyakumari,nagapattinam  
tn_kanyakumari,thiruvarur  
mp_tikamgarh,nagapattinam  
mp_tikamgarh,thanjavur  
mp_tikamgarh,karaikal 
ct_sukma,prakasam 
ct_sukma,ysr 
ct_sukma,thiruvallur  
ct_sukma,chittoor 
ap_chittoor,ysr 
ap_chittoor,krishnagiri 
ap_chittoor,kolar  
ap_chittoor,sri potti sriramulu nellore 
ap_chittoor,vellore  
ap_chittoor,chikkaballapura  
ap_chittoor,anantapur  
ap_chittoor,thiruvallur  
ka_chamarajanagara,west delhi 
ka_chamarajanagara,south east delhi 
ka_chamarajanagara,east delhi 
ka_chamarajanagara,north east delhi 
ka_chamarajanagara,north west delhi 
ka_chamarajanagara,shahdara 
ka_chamarajanagara,north delhi 
ka_chamarajanagara,new delhi 
rj_dungarpur,gautam buddha nagar 
rj_dungarpur,central delhi 
rj_dungarpur,south east delhi 
rj_dungarpur,ghaziabad 
rj_dungarpur,shahdara 
dl_north delhi,north delhi 
dl_north delhi,central delhi 
dl_north delhi,ghaziabad 
dl_north delhi,shahdara 
an_north and middle andaman,central delhi 
an_north and middle andaman,sonipat 
an_north and middle andaman,ghaziabad 
an_north and middle andaman,north east delhi 
an_north and middle andaman,north west delhi 
an_north and middle andaman,baghpat 
tr_north tripura,central delhi 
tr_north tripura,west delhi 
tr_north tripura,sonipat 
tr_north tripura,north delhi 
tr_north tripura,jhajjar 
ml_west garo hills,central delhi 
ml_west garo hills,new delhi 
ml_west garo hills,north west delhi 
ml_west garo hills,south west delhi 
ml_west garo hills,jhajjar 
dl_new delhi,central delhi 
dl_new delhi,west delhi 
dl_new delhi,south east delhi 
dl_new delhi,gurugram 
dl_new delhi,south west delhi 
dl_new delhi,south delhi 
mp_shajapur,central delhi 
mp_shajapur,ghaziabad 
mp_shajapur,north east delhi 
mp_shajapur,east delhi 
as_south salmara mankachar,gautam buddha nagar 
as_south salmara mankachar,central delhi 
